Aer Lingus,320906734,2,0,0,0,0,0,0
Aeroflot*,1197672318,76,14,128,6,1,88,1.8034983087920047e-7
Aerolineas Argentinas,385803648,6,0,0,1,0,0,0
Aeromexico*,596871813,3,1,64,5,0,0,1.072257034191695e-7
Air Canada,1865253802,2,0,0,2,0,0,0
Air France,3004002661,14,4,79,6,2,337,1.3848190129815601e-7
Air India*,869253552,2,1,329,4,1,158,5.602508024033936e-7
Air New Zealand*,710174817,3,0,0,5,1,7,9.856727994904387e-9
Alaska Airlines*,965346773,5,0,0,5,1,88,9.115895185159541e-8
Alitalia,698012498,7,2,50,4,0,0,7.163195522037773e-8
All Nippon Airways,1841234177,3,1,1,7,0,0,5.431139680610002e-10
American*,5228357340,21,5,101,17,3,416,9.888383030835456e-8
Austrian Airlines,358239823,1,0,0,1,0,0,0
Avianca,396922563,5,3,323,0,0,0,8.137607435533969e-7
British Airways*,3179760952,4,0,0,6,0,0,0
Cathay Pacific*,2582459303,0,0,0,2,0,0,0
China Airlines,813216487,12,6,535,2,1,225,9.34560491762386e-7
Condor,417982610,2,1,16,0,0,0,3.827910448236112e-8
COPA,550491507,3,1,47,0,0,0,8.53782472614968e-8
Delta / Northwest*,6525658894,24,12,407,24,2,51,7.018448365744444e-8
Egyptair,557699891,8,3,282,4,1,14,5.307514037150852e-7
El Al,335448023,1,1,4,1,0,0,1.1924351093880198e-8
Ethiopian Airlines,488560643,25,5,167,5,2,92,5.30128662042063e-7
Finnair,506464950,1,0,0,0,0,0,0
Garuda Indonesia,613356665,10,3,260,4,2,22,4.5976511888070867e-7
Gulf Air,301379762,1,0,0,3,1,143,4.744844147829674e-7
Hawaiian Airlines,493877795,0,0,0,1,0,0,0
Iberia,1173203126,4,1,148,5,0,0,1.2615036281449525e-7
Japan Airlines,1574217531,3,1,520,0,0,0,3.3032283643142837e-7
Kenya Airways,277414794,2,0,0,2,2,283,0.0000010201330502943546
KLM*,1874561773,7,1,3,1,0,0,1.600374041127958e-9
Korean Air,1734522605,12,5,425,1,0,0,2.4502419211769223e-7
LAN Airlines,1001965891,3,2,21,0,0,0,2.0958797289038655e-8
Lufthansa*,3426529504,6,1,2,3,0,0,5.836809511388349e-10
Malaysia Airlines,1039171244,3,1,34,3,2,537,5.494763286579165e-7
Pakistan International,348563137,8,3,234,10,2,46,8.032977968063215e-7
Philippine Airlines,413007158,7,4,74,2,1,1,1.815949156019228e-7
Qantas*,1917428984,1,0,0,5,0,0,0
Royal Air Maroc,295705339,5,3,51,3,0,0,1.7246898609429571e-7
SAS*,682971852,5,0,0,6,1,110,1.6106081045342993e-7
Saudi Arabian,859673901,7,2,313,11,0,0,3.6409154638277194e-7
Singapore Airlines,2376857805,2,2,6,2,1,83,3.7444393944298234e-8
South African,651502442,2,1,159,1,0,0,2.440512724893209e-7
Southwest Airlines,3276525770,1,0,0,8,0,0,0
Sri Lankan / AirLanka,325582976,2,1,14,4,0,0,4.299979124215635e-8
SWISS*,792601299,2,1,229,3,0,0,2.889220599170378e-7
TACA,259373346,3,1,3,1,1,3,2.3132677634501428e-8
TAM,1509195646,8,3,98,7,2,188,1.8950491989426266e-7
TAP - Air Portugal,619130754,0,0,0,0,0,0,0
Thai Airways,1702802250,8,4,308,2,1,1,1.814655812206027e-7
Turkish Airlines,1946098294,8,3,64,8,2,84,7.60496016343561e-8
United / Continental*,7139291291,19,8,319,14,2,109,5.994992815877247e-8
US Airways / America West*,2455687887,16,7,224,11,2,23,1.0058281482250925e-7
Vietnam Airlines,625084918,7,3,171,1,0,0,2.735628313463804e-7
Virgin Atlantic,1005248585,1,0,0,0,0,0,0
Xiamen Airlines,430462962,9,1,82,2,0,0,1.9049257947539747e-7
